Generated_File_Name 	Parent_Folder 	Original_File_Name 	Segment_Index
00085.wav	 20171104-1	 1	 13
00086.wav	 20171104-1	 1	 9
00087.wav	 20171104-1	 1	 66
00088.wav	 20171104-1	 1	 20
00089.wav	 20171104-1	 1	 57
00090.wav	 20171104-1	 1	 10
00091.wav	 20171104-1	 1	 12
00092.wav	 20171104a-2	 2	 32
00093.wav	 20171104a-2	 2	 8
00094.wav	 20171104a-2	 2	 83
00095.wav	 20171104a-2	 2	 84
00096.wav	 20171104a-2	 2	 61
00097.wav	 20171104a-2	 2	 1
00098.wav	 20171104a-2	 2	 79
00099.wav	 20171104a-2	 2	 55
00100.wav	 20171104a-2	 2	 28
00101.wav	 20171104a-2	 2	 21
00102.wav	 20171104a-2	 2	 36
00103.wav	 20171104a-2	 2	 74
00104.wav	 20171104a-2	 2	 30
00105.wav	 20171104a-2	 2	 69
00106.wav	 20171104a-2	 2	 57
00107.wav	 20171104a-2	 2	 5
00108.wav	 20171104a-2	 2	 75
00109.wav	 20171104a-2	 2	 45
00110.wav	 20171104a-2	 2	 49
00111.wav	 20171104a-2	 2	 44
00112.wav	 20171104a-2	 2	 24
00113.wav	 20171104a-2	 2	 10
00114.wav	 20171104a-2	 2	 14
00115.wav	 20171104a-2	 2	 85
00116.wav	 20171104a-2	 2	 42
00117.wav	 20171104a-2	 2	 58
00118.wav	 20171104a-2	 2	 22
00119.wav	 20171104a-2	 2	 80
00120.wav	 20171104a-2	 2	 56
00121.wav	 20171104a-2	 2	 59
00122.wav	 20171104a-2	 2	 72
00123.wav	 20171104a-2	 2	 38
00124.wav	 20171104a-2	 2	 16
00125.wav	 20171104a-2	 2	 43
00126.wav	 20171104a-2	 2	 12
00127.wav	 20171104a-2	 2	 9
00128.wav	 20171104a-2	 2	 66
00129.wav	 20171104a-2	 2	 52
00130.wav	 20171104a-2	 2	 81
00131.wav	 20171104a-2	 2	 68
00132.wav	 20171104a-2	 2	 71
00133.wav	 20171104a-2	 2	 37
00134.wav	 20171104a-2	 2	 54
00135.wav	 20171104a-2	 2	 73
00136.wav	 20171104a-2	 2	 60
00137.wav	 20171104a-2	 2	 40
00138.wav	 20171104a-2	 2	 29
00139.wav	 20171104a-2	 2	 20
00140.wav	 20171104a-2	 2	 7
00141.wav	 20171104a-2	 2	 65
00142.wav	 20171104a-2	 2	 64
00143.wav	 20171104a-2	 2	 53
00144.wav	 20171104a-2	 2	 13
00145.wav	 20171104a-2	 2	 2
00146.wav	 20171104a-2	 2	 26
00147.wav	 20171104a-2	 2	 48
00148.wav	 20171104a-2	 2	 6
00149.wav	 20171104a-2	 2	 78
00150.wav	 20171104a-2	 2	 47
00151.wav	 20171104a-2	 2	 15
00152.wav	 20171104a-2	 2	 51
00153.wav	 20171104a-2	 2	 88
00154.wav	 20171104a-2	 2	 86
00155.wav	 20171104a-2	 2	 17
00156.wav	 20171104a-2	 2	 18
00157.wav	 20171104a-2	 2	 87
00158.wav	 20171104a-2	 2	 19
00159.wav	 20171104a-2	 2	 33
00160.wav	 20171104a-2	 2	 3
00161.wav	 20171104a-2	 2	 70
00162.wav	 20171104a-2	 2	 11
00163.wav	 20171104a-2	 2	 39
00164.wav	 20171104a-2	 2	 34
00165.wav	 20171104a-2	 2	 82
00166.wav	 20171104a-2	 2	 25
00167.wav	 20171104a-2	 2	 50
00168.wav	 20171104a-2	 2	 35
00169.wav	 20171104a-2	 2	 46
00170.wav	 20171104a-2	 2	 67
00171.wav	 20171104a-2	 2	 62
00172.wav	 20171104a-2	 2	 41
00173.wav	 20171104a-2	 2	 23
00174.wav	 20171104a-2	 2	 4
00175.wav	 20171104a-2	 2	 76
00176.wav	 20171104a-2	 2	 63
00177.wav	 20171104a-2	 2	 77
00178.wav	 20171104a-2	 2	 31
00179.wav	 20171104a-2	 2	 27
00180.wav	 20171105a-3	 3	 11
00181.wav	 20171105a-3	 3	 49
00182.wav	 20171105a-3	 3	 57
00183.wav	 20171105a-3	 3	 39
00184.wav	 20171105a-3	 3	 7
00185.wav	 20171105a-3	 3	 45
00186.wav	 20171105a-3	 3	 5
00187.wav	 20171105a-3	 3	 37
00188.wav	 20171105a-3	 3	 32
00189.wav	 20171105a-3	 3	 56
00190.wav	 20171105a-3	 3	 38
00191.wav	 20171105a-3	 3	 40
00192.wav	 20171105a-3	 3	 35
00193.wav	 20171105a-3	 3	 50
00194.wav	 20171105a-3	 3	 53
00195.wav	 20171105a-3	 3	 3
00196.wav	 20171105a-3	 3	 58
00197.wav	 20171105a-3	 3	 33
00198.wav	 20171105a-3	 3	 17
00199.wav	 20171105a-3	 3	 42
00200.wav	 20171105a-3	 3	 59
00201.wav	 20171105a-3	 3	 26
00202.wav	 20171105a-3	 3	 8
00203.wav	 20171105a-3	 3	 23
00204.wav	 20171105a-3	 3	 51
00205.wav	 20171105a-3	 3	 44
00206.wav	 20171105a-3	 3	 41
00207.wav	 20171105a-3	 3	 15
00208.wav	 20171105a-3	 3	 48
00209.wav	 20171105a-3	 3	 16
00210.wav	 20171105a-3	 3	 1
00211.wav	 20171105a-3	 3	 34
00212.wav	 20171105a-3	 3	 14
00213.wav	 20171105a-3	 3	 18
00214.wav	 20171105a-3	 3	 19
00215.wav	 20171105a-3	 3	 25
00216.wav	 20171105a-3	 3	 2
00217.wav	 20171105a-3	 3	 29
00218.wav	 20171105a-3	 3	 31
00219.wav	 20171105a-3	 3	 52
00220.wav	 20171105a-3	 3	 54
00221.wav	 20171105a-3	 3	 30
00222.wav	 20171105a-3	 3	 9
00223.wav	 20171105a-3	 3	 22
00224.wav	 20171105a-3	 3	 6
00225.wav	 20171105a-3	 3	 55
00226.wav	 20171105a-3	 3	 4
00227.wav	 20171105a-3	 3	 13
00228.wav	 20171105a-3	 3	 10
00229.wav	 20171105a-3	 3	 21
00230.wav	 20171105a-3	 3	 24
00231.wav	 20171105a-3	 3	 20
00232.wav	 20171105a-3	 3	 36
00233.wav	 20171105a-3	 3	 28
00234.wav	 20171105a-3	 3	 46
00235.wav	 20171105a-3	 3	 43
00236.wav	 20171105a-3	 3	 12
00237.wav	 20171105a-3	 3	 27
00238.wav	 20171105a-3	 3	 47
00239.wav	 20171106-4	 4	 56
00240.wav	 20171106-4	 4	 6
00241.wav	 20171106-4	 4	 43
00242.wav	 20171106-4	 4	 23
00243.wav	 20171106-4	 4	 65
00244.wav	 20171106-4	 4	 63
00245.wav	 20171106-4	 4	 3
00246.wav	 20171106-4	 4	 27
00247.wav	 20171106-4	 4	 33
00248.wav	 20171106-4	 4	 31
00249.wav	 20171106-4	 4	 58
00250.wav	 20171106-4	 4	 53
00251.wav	 20171106-4	 4	 42
00252.wav	 20171106-4	 4	 16
00253.wav	 20171106-4	 4	 11
00254.wav	 20171106-4	 4	 54
00255.wav	 20171106-4	 4	 28
00256.wav	 20171106-4	 4	 4
00257.wav	 20171106-4	 4	 40
00258.wav	 20171106-4	 4	 29
00259.wav	 20171106-4	 4	 21
00260.wav	 20171106-4	 4	 20
00261.wav	 20171106-4	 4	 1
00262.wav	 20171106-4	 4	 12
00263.wav	 20171106-4	 4	 62
00264.wav	 20171106-4	 4	 46
00265.wav	 20171106-4	 4	 9
00266.wav	 20171106-4	 4	 17
00267.wav	 20171106-4	 4	 57
00268.wav	 20171106-4	 4	 35
00269.wav	 20171106-4	 4	 45
00270.wav	 20171106-4	 4	 61
00271.wav	 20171106-4	 4	 2
00272.wav	 20171106-4	 4	 15
00273.wav	 20171106-4	 4	 14
00274.wav	 20171106-4	 4	 52
00275.wav	 20171106-4	 4	 10
00276.wav	 20171106-4	 4	 48
00277.wav	 20171106-4	 4	 49
00278.wav	 20171106-4	 4	 18
00279.wav	 20171106-4	 4	 34
00280.wav	 20171106-4	 4	 19
00281.wav	 20171106-4	 4	 30
00282.wav	 20171106-4	 4	 64
00283.wav	 20171106-4	 4	 41
00284.wav	 20171106-4	 4	 60
00285.wav	 20171106-4	 4	 37
00286.wav	 20171106-4	 4	 32
00287.wav	 20171106-4	 4	 8
00288.wav	 20171106-4	 4	 44
00289.wav	 20171106-4	 4	 36
00290.wav	 20171106-4	 4	 26
00291.wav	 20171106-4	 4	 5
00292.wav	 20171106-4	 4	 51
00293.wav	 20171106-4	 4	 50
00294.wav	 20171106-4	 4	 24
00295.wav	 20171106-4	 4	 55
00296.wav	 20171106-4	 4	 39
00297.wav	 20171106-4	 4	 38
00298.wav	 20171106-4	 4	 47
00299.wav	 20171106-4	 4	 25
00300.wav	 20171106-4	 4	 7
00301.wav	 20171106-4	 4	 13
00302.wav	 20171106-4	 4	 59
00303.wav	 20171106-4	 4	 22
00304.wav	 20171107-5	 5	 30
00305.wav	 20171107-5	 5	 40
00306.wav	 20171107-5	 5	 22
00307.wav	 20171107-5	 5	 1
00308.wav	 20171107-5	 5	 16
00309.wav	 20171107-5	 5	 3
00310.wav	 20171107-5	 5	 33
00311.wav	 20171107-5	 5	 17
00312.wav	 20171107-5	 5	 7
00313.wav	 20171107-5	 5	 32
00314.wav	 20171107-5	 5	 18
00315.wav	 20171107-5	 5	 35
00316.wav	 20171107-5	 5	 28
00317.wav	 20171107-5	 5	 37
00318.wav	 20171107-5	 5	 34
00319.wav	 20171107-5	 5	 19
00320.wav	 20171107-5	 5	 23
00321.wav	 20171107-5	 5	 25
00322.wav	 20171107-5	 5	 29
00323.wav	 20171107-5	 5	 14
00324.wav	 20171107-5	 5	 13
00325.wav	 20171107-5	 5	 36
00326.wav	 20171107-5	 5	 9
00327.wav	 20171107-5	 5	 2
00328.wav	 20171107-5	 5	 24
00329.wav	 20171107-5	 5	 27
00330.wav	 20171107-5	 5	 11
00331.wav	 20171107-5	 5	 26
00332.wav	 20171107-5	 5	 8
00333.wav	 20171107-5	 5	 6
00334.wav	 20171107-5	 5	 41
00335.wav	 20171107-5	 5	 12
00336.wav	 20171107-5	 5	 21
00337.wav	 20171107-5	 5	 5
00338.wav	 20171107-5	 5	 4
00339.wav	 20171107-5	 5	 15
00340.wav	 20171107-5	 5	 20
00341.wav	 20171107-5	 5	 39
00342.wav	 20171107-5	 5	 38
00343.wav	 20171107-5	 5	 10
00344.wav	 20171107-5	 5	 31
00345.wav	 20171107b-6	 6	 52
00346.wav	 20171107b-6	 6	 17
00347.wav	 20171107b-6	 6	 64
00348.wav	 20171107b-6	 6	 96
00349.wav	 20171107b-6	 6	 65
00350.wav	 20171107b-6	 6	 79
00351.wav	 20171107b-6	 6	 58
00352.wav	 20171107b-6	 6	 75
00353.wav	 20171107b-6	 6	 46
00354.wav	 20171107b-6	 6	 32
00355.wav	 20171107b-6	 6	 14
00356.wav	 20171107b-6	 6	 81
00357.wav	 20171107b-6	 6	 25
00358.wav	 20171107b-6	 6	 55
00359.wav	 20171107b-6	 6	 16
00360.wav	 20171107b-6	 6	 13
00361.wav	 20171107b-6	 6	 56
00362.wav	 20171107b-6	 6	 21
00363.wav	 20171107b-6	 6	 29
00364.wav	 20171107b-6	 6	 34
00365.wav	 20171107b-6	 6	 91
00366.wav	 20171107b-6	 6	 37
00367.wav	 20171107b-6	 6	 97
00368.wav	 20171107b-6	 6	 50
00369.wav	 20171107b-6	 6	 40
00370.wav	 20171107b-6	 6	 80
00371.wav	 20171107b-6	 6	 1
00372.wav	 20171107b-6	 6	 82
00373.wav	 20171107b-6	 6	 93
00374.wav	 20171107b-6	 6	 38
00375.wav	 20171107b-6	 6	 7
00376.wav	 20171107b-6	 6	 54
00377.wav	 20171107b-6	 6	 66
00378.wav	 20171107b-6	 6	 74
00379.wav	 20171107b-6	 6	 44
00380.wav	 20171107b-6	 6	 22
00381.wav	 20171107b-6	 6	 28
00382.wav	 20171107b-6	 6	 35
00383.wav	 20171107b-6	 6	 69
00384.wav	 20171107b-6	 6	 5
00385.wav	 20171107b-6	 6	 2
00386.wav	 20171107b-6	 6	 57
00387.wav	 20171107b-6	 6	 78
00388.wav	 20171107b-6	 6	 53
00389.wav	 20171107b-6	 6	 30
00390.wav	 20171107b-6	 6	 83
00391.wav	 20171107b-6	 6	 85
00392.wav	 20171107b-6	 6	 23
00393.wav	 20171107b-6	 6	 60
00394.wav	 20171107b-6	 6	 31
00395.wav	 20171107b-6	 6	 87
00396.wav	 20171107b-6	 6	 84
00397.wav	 20171107b-6	 6	 67
00398.wav	 20171107b-6	 6	 73
00399.wav	 20171107b-6	 6	 10
00400.wav	 20171107b-6	 6	 3
00401.wav	 20171107b-6	 6	 18
00402.wav	 20171107b-6	 6	 36
00403.wav	 20171107b-6	 6	 45
00404.wav	 20171107b-6	 6	 33
00405.wav	 20171107b-6	 6	 51
00406.wav	 20171107b-6	 6	 59
00407.wav	 20171107b-6	 6	 76
00408.wav	 20171107b-6	 6	 39
00409.wav	 20171107b-6	 6	 89
00410.wav	 20171107b-6	 6	 63
00411.wav	 20171107b-6	 6	 27
00412.wav	 20171107b-6	 6	 68
00413.wav	 20171107b-6	 6	 9
00414.wav	 20171107b-6	 6	 12
00415.wav	 20171107b-6	 6	 20
00416.wav	 20171107b-6	 6	 94
00417.wav	 20171107b-6	 6	 92
00418.wav	 20171107b-6	 6	 95
00419.wav	 20171107b-6	 6	 61
00420.wav	 20171107b-6	 6	 11
00421.wav	 20171107b-6	 6	 62
00422.wav	 20171107b-6	 6	 8
00423.wav	 20171107b-6	 6	 71
00424.wav	 20171107b-6	 6	 43
00425.wav	 20171107b-6	 6	 77
00426.wav	 20171107b-6	 6	 49
00427.wav	 20171107b-6	 6	 70
00428.wav	 20171107b-6	 6	 41
00429.wav	 20171107b-6	 6	 26
00430.wav	 20171107b-6	 6	 86
00431.wav	 20171107b-6	 6	 48
00432.wav	 20171107b-6	 6	 19
00433.wav	 20171107b-6	 6	 47
00434.wav	 20171107b-6	 6	 4
00435.wav	 20171107b-6	 6	 88
00436.wav	 20171107b-6	 6	 90
00437.wav	 20171107b-6	 6	 72
00438.wav	 20171107b-6	 6	 24
00439.wav	 20171107b-6	 6	 42
00440.wav	 20171107b-6	 6	 6
00441.wav	 20171107b-6	 6	 15
00442.wav	 20171110-7	 7	 11
00443.wav	 20171110-7	 7	 7
00444.wav	 20171110-7	 7	 19
00445.wav	 20171110-7	 7	 104
00446.wav	 20171110-7	 7	 79
00447.wav	 20171110-7	 7	 34
00448.wav	 20171110-7	 7	 91
00449.wav	 20171110-7	 7	 77
00450.wav	 20171110-7	 7	 78
00451.wav	 20171110-7	 7	 65
00452.wav	 20171110-7	 7	 47
00453.wav	 20171110-7	 7	 89
00454.wav	 20171110-7	 7	 101
00455.wav	 20171110-7	 7	 23
00456.wav	 20171110-7	 7	 20
00457.wav	 20171110-7	 7	 32
00458.wav	 20171110-7	 7	 26
00459.wav	 20171110-7	 7	 88
00460.wav	 20171110-7	 7	 44
00461.wav	 20171110-7	 7	 76
00462.wav	 20171110-7	 7	 1
00463.wav	 20171110-7	 7	 46
00464.wav	 20171110-7	 7	 106
00465.wav	 20171110-7	 7	 28
00466.wav	 20171110-7	 7	 58
00467.wav	 20171110-7	 7	 103
00468.wav	 20171110-7	 7	 63
00469.wav	 20171110-7	 7	 30
00470.wav	 20171110-7	 7	 33
00471.wav	 20171110-7	 7	 64
00472.wav	 20171110-7	 7	 16
00473.wav	 20171110-7	 7	 24
00474.wav	 20171110-7	 7	 4
00475.wav	 20171110-7	 7	 100
00476.wav	 20171110-7	 7	 53
00477.wav	 20171110-7	 7	 82
00478.wav	 20171110-7	 7	 9
00479.wav	 20171110-7	 7	 96
00480.wav	 20171110-7	 7	 80
00481.wav	 20171110-7	 7	 55
00482.wav	 20171110-7	 7	 13
00483.wav	 20171110-7	 7	 38
00484.wav	 20171110-7	 7	 81
00485.wav	 20171110-7	 7	 49
00486.wav	 20171110-7	 7	 50
00487.wav	 20171110-7	 7	 14
00488.wav	 20171110-7	 7	 12
00489.wav	 20171110-7	 7	 18
00490.wav	 20171110-7	 7	 22
00491.wav	 20171110-7	 7	 68
00492.wav	 20171110-7	 7	 95
00493.wav	 20171110-7	 7	 99
00494.wav	 20171110-7	 7	 74
00495.wav	 20171110-7	 7	 92
00496.wav	 20171110-7	 7	 93
00497.wav	 20171110-7	 7	 61
00498.wav	 20171110-7	 7	 72
00499.wav	 20171110-7	 7	 70
00500.wav	 20171110-7	 7	 37
00501.wav	 20171110-7	 7	 35
00502.wav	 20171110-7	 7	 60
00503.wav	 20171110-7	 7	 102
00504.wav	 20171110-7	 7	 8
00505.wav	 20171110-7	 7	 48
00506.wav	 20171110-7	 7	 25
00507.wav	 20171110-7	 7	 59
00508.wav	 20171110-7	 7	 84
00509.wav	 20171110-7	 7	 42
00510.wav	 20171110-7	 7	 69
00511.wav	 20171110-7	 7	 39
00512.wav	 20171110-7	 7	 67
00513.wav	 20171110-7	 7	 71
00514.wav	 20171110-7	 7	 40
00515.wav	 20171110-7	 7	 51
00516.wav	 20171110-7	 7	 54
00517.wav	 20171110-7	 7	 2
00518.wav	 20171110-7	 7	 97
00519.wav	 20171110-7	 7	 6
00520.wav	 20171110-7	 7	 41
00521.wav	 20171110-7	 7	 36
00522.wav	 20171110-7	 7	 90
00523.wav	 20171110-7	 7	 45
00524.wav	 20171110-7	 7	 73
00525.wav	 20171110-7	 7	 21
00526.wav	 20171110-7	 7	 27
00527.wav	 20171110-7	 7	 98
00528.wav	 20171110-7	 7	 105
00529.wav	 20171110-7	 7	 83
00530.wav	 20171110-7	 7	 31
00531.wav	 20171110-7	 7	 15
00532.wav	 20171110-7	 7	 52
00533.wav	 20171110-7	 7	 85
00534.wav	 20171110-7	 7	 5
00535.wav	 20171110-7	 7	 17
00536.wav	 20171110-7	 7	 57
00537.wav	 20171110-7	 7	 56
00538.wav	 20171110-7	 7	 3
00539.wav	 20171110-7	 7	 94
00540.wav	 20171110-7	 7	 62
00541.wav	 20171110-7	 7	 10
00542.wav	 20171110-7	 7	 29
00543.wav	 20171110-7	 7	 86
00544.wav	 20171110-7	 7	 66
00545.wav	 20171110-7	 7	 43
00546.wav	 20171110-7	 7	 87
00547.wav	 20171110-7	 7	 75
00548.wav	 20171111-8	 8	 9
00549.wav	 20171111-8	 8	 53
00550.wav	 20171111-8	 8	 45
00551.wav	 20171111-8	 8	 46
00552.wav	 20171111-8	 8	 47
00553.wav	 20171111-8	 8	 52
00554.wav	 20171111-8	 8	 37
00555.wav	 20171111-8	 8	 31
00556.wav	 20171111-8	 8	 50
00557.wav	 20171111-8	 8	 13
00558.wav	 20171111-8	 8	 38
00559.wav	 20171111-8	 8	 23
00560.wav	 20171111-8	 8	 12
00561.wav	 20171111-8	 8	 43
00562.wav	 20171111-8	 8	 26
00563.wav	 20171111-8	 8	 10
00564.wav	 20171111-8	 8	 3
00565.wav	 20171111-8	 8	 22
00566.wav	 20171111-8	 8	 17
00567.wav	 20171111-8	 8	 5
00568.wav	 20171111-8	 8	 19
00569.wav	 20171111-8	 8	 39
00570.wav	 20171111-8	 8	 11
00571.wav	 20171111-8	 8	 15
00572.wav	 20171111-8	 8	 28
00573.wav	 20171111-8	 8	 8
00574.wav	 20171111-8	 8	 1
00575.wav	 20171111-8	 8	 51
00576.wav	 20171111-8	 8	 49
00577.wav	 20171111-8	 8	 34
00578.wav	 20171111-8	 8	 44
00579.wav	 20171111-8	 8	 55
00580.wav	 20171111-8	 8	 36
00581.wav	 20171111-8	 8	 27
00582.wav	 20171111-8	 8	 48
00583.wav	 20171111-8	 8	 6
00584.wav	 20171111-8	 8	 2
00585.wav	 20171111-8	 8	 7
00586.wav	 20171111-8	 8	 4
00587.wav	 20171111-8	 8	 40
00588.wav	 20171111-8	 8	 21
00589.wav	 20171111-8	 8	 30
00590.wav	 20171111-8	 8	 18
00591.wav	 20171111-8	 8	 42
00592.wav	 20171111-8	 8	 24
00593.wav	 20171111-8	 8	 20
00594.wav	 20171111-8	 8	 14
00595.wav	 20171111-8	 8	 41
00596.wav	 20171111-8	 8	 29
00597.wav	 20171111-8	 8	 54
00598.wav	 20171111-8	 8	 32
00599.wav	 20171111-8	 8	 35
00600.wav	 20171111-8	 8	 16
00601.wav	 20171111-8	 8	 25
00602.wav	 20171111-8	 8	 33
00603.wav	 20171111e-9	 9	 7
00604.wav	 20171111e-9	 9	 33
00605.wav	 20171111e-9	 9	 41
00606.wav	 20171111e-9	 9	 51
00607.wav	 20171111e-9	 9	 44
00608.wav	 20171111e-9	 9	 23
00609.wav	 20171111e-9	 9	 34
00610.wav	 20171111e-9	 9	 47
00611.wav	 20171111e-9	 9	 59
00612.wav	 20171111e-9	 9	 49
00613.wav	 20171111e-9	 9	 50
00614.wav	 20171111e-9	 9	 46
00615.wav	 20171111e-9	 9	 48
00616.wav	 20171111e-9	 9	 38
00617.wav	 20171111e-9	 9	 14
00618.wav	 20171111e-9	 9	 21
00619.wav	 20171111e-9	 9	 53
00620.wav	 20171111e-9	 9	 43
00621.wav	 20171111e-9	 9	 58
00622.wav	 20171111e-9	 9	 12
00623.wav	 20171111e-9	 9	 36
00624.wav	 20171111e-9	 9	 45
00625.wav	 20171111e-9	 9	 60
00626.wav	 20171111e-9	 9	 15
00627.wav	 20171111e-9	 9	 56
00628.wav	 20171111e-9	 9	 11
00629.wav	 20171111e-9	 9	 57
00630.wav	 20171111e-9	 9	 54
00631.wav	 20171111e-9	 9	 39
00632.wav	 20171111e-9	 9	 17
00633.wav	 20171111e-9	 9	 32
00634.wav	 20171111e-9	 9	 30
00635.wav	 20171111e-9	 9	 3
00636.wav	 20171111e-9	 9	 20
00637.wav	 20171111e-9	 9	 9
00638.wav	 20171111e-9	 9	 42
00639.wav	 20171111e-9	 9	 24
00640.wav	 20171111e-9	 9	 40
00641.wav	 20171111e-9	 9	 52
00642.wav	 20171111e-9	 9	 25
00643.wav	 20171111e-9	 9	 22
00644.wav	 20171111e-9	 9	 55
00645.wav	 20171111e-9	 9	 2
00646.wav	 20171111e-9	 9	 26
00647.wav	 20171111e-9	 9	 19
00648.wav	 20171111e-9	 9	 29
00649.wav	 20171111e-9	 9	 13
00650.wav	 20171111e-9	 9	 4
00651.wav	 20171111e-9	 9	 37
00652.wav	 20171111e-9	 9	 18
00653.wav	 20171111e-9	 9	 35
00654.wav	 20171111e-9	 9	 8
00655.wav	 20171111e-9	 9	 5
00656.wav	 20171111e-9	 9	 27
00657.wav	 20171111e-9	 9	 16
00658.wav	 20171111e-9	 9	 31
00659.wav	 20171111e-9	 9	 1
00660.wav	 20171111e-9	 9	 28
00661.wav	 20171111e-9	 9	 6
00662.wav	 20171111e-9	 9	 10
00663.wav	 20171111f-10	 10	 37
00664.wav	 20171111f-10	 10	 30
00665.wav	 20171111f-10	 10	 16
00666.wav	 20171111f-10	 10	 43
00667.wav	 20171111f-10	 10	 20
00668.wav	 20171111f-10	 10	 10
00669.wav	 20171111f-10	 10	 58
00670.wav	 20171111f-10	 10	 11
00671.wav	 20171111f-10	 10	 48
00672.wav	 20171111f-10	 10	 29
00673.wav	 20171111f-10	 10	 12
00674.wav	 20171111f-10	 10	 13
00675.wav	 20171111f-10	 10	 44
00676.wav	 20171111f-10	 10	 27
00677.wav	 20171111f-10	 10	 8
00678.wav	 20171111f-10	 10	 4
00679.wav	 20171111f-10	 10	 3
00680.wav	 20171111f-10	 10	 53
00681.wav	 20171111f-10	 10	 33
00682.wav	 20171111f-10	 10	 32
00683.wav	 20171111f-10	 10	 46
00684.wav	 20171111f-10	 10	 34
00685.wav	 20171111f-10	 10	 41
00686.wav	 20171111f-10	 10	 28
00687.wav	 20171111f-10	 10	 54
00688.wav	 20171111f-10	 10	 7
00689.wav	 20171111f-10	 10	 42
00690.wav	 20171111f-10	 10	 55
00691.wav	 20171111f-10	 10	 35
00692.wav	 20171111f-10	 10	 26
00693.wav	 20171111f-10	 10	 50
00694.wav	 20171111f-10	 10	 39
00695.wav	 20171111f-10	 10	 5
00696.wav	 20171111f-10	 10	 15
00697.wav	 20171111f-10	 10	 14
00698.wav	 20171111f-10	 10	 6
00699.wav	 20171111f-10	 10	 36
00700.wav	 20171111f-10	 10	 45
00701.wav	 20171111f-10	 10	 51
00702.wav	 20171111f-10	 10	 18
00703.wav	 20171111f-10	 10	 19
00704.wav	 20171111f-10	 10	 56
00705.wav	 20171111f-10	 10	 25
00706.wav	 20171111f-10	 10	 57
00707.wav	 20171111f-10	 10	 38
00708.wav	 20171111f-10	 10	 1
00709.wav	 20171111f-10	 10	 40
00710.wav	 20171111f-10	 10	 24
00711.wav	 20171111f-10	 10	 21
00712.wav	 20171111f-10	 10	 2
00713.wav	 20171111f-10	 10	 47
00714.wav	 20171111f-10	 10	 17
