class_id	class_name	split	recording_key	available_clips_with_history
1	Tanker	Train	20180610-215/135143	60
1	Tanker	Train	20180208-177/234708	3
1	Tanker	Train	20180510-205/062026	62
1	Tanker	Train	20180411a-190/193519	49
1	Tanker	Train	20180120a-170/211000	1
1	Tanker	Train	20171110-150/231243	72
1	Tanker	Train	20170326b-89/231111	47
1	Tanker	Train	20170901-137/205515	69
1	Tanker	Train	20180221-179/020619	75
1	Tanker	Train	20161024-45/061514	48
1	Tanker	Train	20161227-67/034311	3
1	Tanker	Train	20180117-166/054518	5
1	Tanker	Train	20180725a-228/222512	69
1	Tanker	Train	20161215-64/025503	1
1	Tanker	Train	20170205-78/163939	7
1	Tanker	Train	20170818-132/060518	11
1	Tanker	Train	20170317-86/072019	55
1	Tanker	Train	20180705-224/144030	69
1	Tanker	Train	20171222-160/141803	15
1	Tanker	Train	20170511-106/050253	43
1	Tanker	Train	20160619a-18/18	12
1	Tanker	Train	20170420-99/170815	15
1	Tanker	Train	20180520-209/130618	3
1	Tanker	Train	20161009-42/42	13
1	Tanker	Train	20160619-17/173821	71
1	Tanker	Train	20180612a-217/230757	69
1	Tanker	Train	20160602-9/9	2
1	Tanker	Train	20161211-63/204245	71
1	Tanker	Train	20160808-28/203415	77
1	Tanker	Train	20161125-57/202025	1
1	Tanker	Train	20170327a-91/224310	5
1	Tanker	Train	20161027-46/145435	68
1	Tanker	Train	20170206-79/081843	5
1	Tanker	Train	20170204-77/232817	112
1	Tanker	Train	20170227-83/235904	5
1	Tanker	Train	20170630-121/210742	3
1	Tanker	Train	20170119-69/153739	7
1	Tanker	Train	20180523-210/171217	8
1	Tanker	Train	20160927-39/39	24
1	Tanker	Train	20170326-87/022836	11
1	Tanker	Train	20160613-13/13	12
1	Tanker	Train	20171222a-161/152008	4
1	Tanker	Train	20161124-56/095256	16
1	Tanker	Train	20170301-84/230755	46
1	Tanker	Train	20171029-147/012439	4
1	Tanker	Train	20160831-33/33	2
1	Tanker	Train	20180904-233/183908	2
1	Tanker	Train	20170822-133/172736	82
1	Tanker	Train	20180826-232/010604	4
1	Tanker	Train	20161113-237/174452	56
1	Tanker	Train	20180405-188/025825	13
1	Tanker	Train	20170720-127/064114	2
1	Tanker	Train	20180314a-184/171300	12
1	Tanker	Train	20180506-201/014248	73
1	Tanker	Train	20180725-227/013354	99
1	Tanker	Train	20171024-146/085126	2
1	Tanker	Train	20161101-48/48	6
1	Tanker	Train	20180314-183/155725	47
1	Tanker	Train	20180703-223/143323	91
1	Tanker	Train	20170425-102/231243	100
1	Tanker	Train	20170216-81/035911	27
1	Tanker	Train	20180710a-226/070051	2
1	Tanker	Train	20160906-35/35	2
1	Tanker	Train	20160904-34/005747	50
1	Tanker	Train	20180618-219/031247	6
1	Tanker	Train	20160516-4/134837	54
1	Tanker	Train	20170403a-93/102955	34
1	Tanker	Train	20180316-185/163653	3
1	Tanker	Train	20160604-11/171238	27
1	Tanker	Train	20180211-178/180933	95
1	Tanker	Train	20161113a-53/212239	5
1	Tanker	Test	20180226-180/033811	46
1	Tanker	Test	20170512-107/081819	27
1	Tanker	Test	20171128-155/013710	4
1	Tanker	Test	20170923-140/064301	8
1	Tanker	Test	20180203-174/232020	32
1	Tanker	Test	20170920-139/232910	29
1	Tanker	Test	20161208a-62/200744	4
1	Tanker	Test	20180422-195/171202	3
1	Tanker	Test	20180529-211/093622	29
1	Tanker	Test	20180303-181/060850	29
1	Tanker	Test	20161207-60/090131	4
1	Tanker	Test	20171013-142/115050	78
1	Tanker	Test	20161107-51/170102	31
1	Tanker	Test	20160531-7/142749	99
1	Tanker	Test	20180507-202/212341	107
1	Tanker	Test	20161110-52/005212	7
1	Tanker	Test	20170705-123/030515	71
1	Tanker	Test	20170530-111/004426	7
1	Tanker	Test	20171204-156/222708	19
1	Tanker	Test	20171126-152/025605	83
1	Tanker	Test	20161206-59/221722	11
1	Tanker	Test	20180121-171/222956	69
1	Tanker	Test	20170723-238/052014	14
1	Tanker	Test	20180130-173/054907	8
1	Tanker	Test	20180822-231/142019	78
1	Tanker	Test	20170120-70/070941	69
1	Tanker	Test	20161002-40/130331	47
1	Tanker	Test	20170122b-74/050415	42
1	Tanker	Test	20180422a-196/171529	5
1	Tanker	Test	20160714a-26/141202	68
1	Tanker	Test	20161123-55/171423	12
1	Tanker	Test	20161208-61/135535	4
1	Tanker	Test	20180120-169/125003	109
1	Tanker	Test	20180129-172/025531	73
1	Tanker	Val	20170712a-126/015656	8
1	Tanker	Val	20170704-122/145807	67
1	Tanker	Val	20180607-214/124208	1
1	Tanker	Val	20180508-203/232237	4
1	Tanker	Val	20170124-75/085359	111
1	Tanker	Val	20161106-50/50	1
1	Tanker	Val	20160602a-10/10	5
1	Tanker	Val	20170209-80/040238	7
1	Tanker	Val	20160829-32/32	6
1	Tanker	Val	20170629-120/215813	67
1	Tanker	Val	20170711a-239/191933	110
1	Tanker	Val	20170309-85/095437	2
1	Tanker	Val	20171127-154/162141	1
1	Tanker	Val	20170525-109/111532	2
1	Tanker	Val	20170828-136/215454	81
1	Tanker	Val	20170421-100/010738	73
1	Tanker	Val	20180629-220/001835	72
1	Tanker	Val	20170826-135/005931	12
1	Tanker	Val	20170419-98/021347	65
1	Tanker	Val	20180725b-229/233127	12
1	Tanker	Val	20180515a-207/224627	12
1	Tanker	Val	20160810-29/29	20
1	Tanker	Val	20160625-19/19	1
1	Tanker	Val	20180612-216/032309	69
1	Tanker	Val	20160704-22/111311	80
1	Tanker	Val	20170516-108/201729	3
1	Tanker	Val	20180927-236/173410	3
1	Tanker	Val	20180421-194/025328	138
1	Tanker	Val	20160616-15/214515	79
1	Tanker	Val	20170507-103/213103	25
1	Tanker	Val	20170824-134/194518	3
1	Tanker	Val	20160617-16/225229	100
1	Tanker	Val	20180702-222/172918	102
1	Tanker	Val	20171230a-164/195035	24
3	Tug	Train	20171129-30/011700	114
3	Tug	Train	20171106-4/144640	205
3	Tug	Train	20171128-25/052238	183
3	Tug	Train	20171116-10/065145	105
3	Tug	Train	20171207b-47/114556	146
3	Tug	Train	20171120-17/034014	145
3	Tug	Train	20171201c-34/123228	105
3	Tug	Train	20171130a-31/211648	65
3	Tug	Train	20171120a-18/054508	77
3	Tug	Train	20171231a-70/215301	108
3	Tug	Train	20171105-2/052000	228
3	Tug	Train	20171221-61/114923	47
3	Tug	Train	20171104-1/200959	126
3	Tug	Train	20171226-65/043830	82
3	Tug	Train	20171128b-27/120847	102
3	Tug	Train	20171212a-50/094549	68
3	Tug	Train	20171118-12/082934	185
3	Tug	Train	20171127-23/065148	57
3	Tug	Train	20171207a-46/052942	69
3	Tug	Train	20171118c-15/185844	79
3	Tug	Train	20171223b-63/233721	52
3	Tug	Train	20171205-44/145246	79
3	Tug	Train	20171128a-26/103033	98
3	Tug	Train	20171203-39/032822	143
3	Tug	Train	20171202a-38/145149	153
3	Tug	Train	20171217-58/020446	111
3	Tug	Train	20171215-54/005343	133
3	Tug	Train	20171106a-5/162112	124
3	Tug	Train	20171219a-60/210546	156
3	Tug	Train	20171114-8/072235	119
3	Tug	Train	20171123-21/035104	238
3	Tug	Train	20171118d-16/234607	176
3	Tug	Train	20171230a-69/163503	172
3	Tug	Train	20171204a-43/081356	153
3	Tug	Train	20171201b-33/082249	121
3	Tug	Train	20171107a-6/095309	76
3	Tug	Train	20171111-7/025236	76
3	Tug	Train	20171229a-67/195709	73
3	Tug	Train	20171201-32/024235	100
3	Tug	Train	20171121-19/101117	209
3	Tug	Train	20171127a-24/105442	349
3	Tug	Train	20171207-45/004027	64
3	Tug	Train	20171217a-59/050224	121
3	Tug	Train	20171116a-11/221717	148
3	Tug	Train	20171214a-53/184639	51
3	Tug	Train	20171215e-56/170639	51
3	Tug	Train	20171213a-52/071716	171
3	Tug	Train	20171203a-40/40	39
3	Tug	Test	20171203c-41/194116	121
3	Tug	Test	20171227a-66/110853	127
3	Tug	Test	20171128d-29/193239	45
3	Tug	Test	20171118a-13/141340	129
3	Tug	Test	20171229b-68/200347	99
3	Tug	Test	20171201d-35/125826	129
3	Tug	Test	20171202-37/071515	70
3	Tug	Test	20171213-51/065742	171
3	Tug	Test	20171204-42/034437	61
3	Tug	Test	20171118b-14/161506	161
3	Tug	Test	20171115-9/9	39
3	Tug	Val	20171215a-55/103412	66
3	Tug	Val	20171209-48/041322	113
3	Tug	Val	20171124-22/012051	125
3	Tug	Val	20171122a-20/124609	142
3	Tug	Val	20171105b-3/231504	130
3	Tug	Val	20171221a-62/144544	91
3	Tug	Val	20171201e-36/190230	131
3	Tug	Val	20171225-64/015934	112
3	Tug	Val	20171210-49/49	37
3	Tug	Val	20171128c-28/190038	65
